route,route_type,week_of,total_cost,total_tonne_km,cost_per_tonne_km
Ahmedabad-Mumbai,Medium,2024-08-26,57267,22214.29,2.5779351939674866
Ahmedabad-Mumbai,Medium,2024-09-02,61677,24576.03,2.50964049116151
Ahmedabad-Mumbai,Medium,2024-09-09,97010,38692.65,2.5071945188556484
Ahmedabad-Mumbai,Medium,2024-09-16,78424,30303.57,2.5879459086833663
Ahmedabad-Mumbai,Medium,2024-09-23,59790,24085.260000000002,2.4824311632924037
Ahmedabad-Mumbai,Medium,2024-09-30,82824,33280.99,2.4886278923794034
Ahmedabad-Mumbai,Medium,2024-10-07,103576,41561.96,2.492086513725532
Ahmedabad-Mumbai,Medium,2024-10-14,93879,37972.38,2.472296969534172
Ahmedabad-Mumbai,Medium,2024-10-21,80692,31581.329999999998,2.5550538878508284
Ahmedabad-Mumbai,Medium,2024-10-28,76251,28530.51,2.672612582109468
Ahmedabad-Mumbai,Medium,2024-11-04,70340,27894.01,2.521688348143562
Ahmedabad-Mumbai,Medium,2024-11-11,108179,41848.78,2.584997698857649
Ahmedabad-Mumbai,Medium,2024-11-18,47507,18308.100000000002,2.5948623833166735
Ahmedabad-Mumbai,Medium,2024-11-25,85307,32847.69,2.5970471591761854
Ahmedabad-Mumbai,Medium,2024-12-02,99241,39748.88,2.4966992780677093
Ahmedabad-Mumbai,Medium,2024-12-09,91496,36806.82,2.485843656148507
Ahmedabad-Mumbai,Medium,2024-12-16,125645,51239.17,2.4521279325953174
Ahmedabad-Mumbai,Medium,2024-12-23,98229,37307.700000000004,2.6329417251666545
Ahmedabad-Mumbai,Medium,2024-12-30,98544,38678.45,2.547775311575309
Ahmedabad-Mumbai,Medium,2025-01-06,72462,28829.53,2.5134644928307885
Ahmedabad-Mumbai,Medium,2025-01-13,103862,39871.549999999996,2.604915033401009
Ahmedabad-Mumbai,Medium,2025-01-20,134631,40916.71,3.290367187391166
Ahmedabad-Mumbai,Medium,2025-01-27,66049,26840.27,2.4608172719573984
Ahmedabad-Mumbai,Medium,2025-02-03,75778,30384.32,2.4939837389811585
Ahmedabad-Mumbai,Medium,2025-02-10,108944,44592.24,2.4431156631736823
Ahmedabad-Mumbai,Medium,2025-02-17,80830,32229.739999999998,2.5079321148727853
Ahmedabad-Mumbai,Medium,2025-02-24,51506,20569.870000000003,2.5039535981510816
Ahmedabad-Mumbai,Medium,2025-03-03,106254,41011.14,2.5908570207997146
Ahmedabad-Mumbai,Medium,2025-03-10,51224,19424.5,2.637082035573631
Ahmedabad-Mumbai,Medium,2025-03-17,90395,34000.049999999996,2.658672560775646
Ahmedabad-Mumbai,Medium,2025-03-24,57824,23735.77,2.436154377970464
Ahmedabad-Mumbai,Medium,2025-03-31,108654,41567.7,2.613904546077844
Ahmedabad-Mumbai,Medium,2025-04-07,73513,29466.54,2.4947957921086084
Ahmedabad-Mumbai,Medium,2025-04-14,82623,33791.82,2.445059188880623
Ahmedabad-Mumbai,Medium,2025-04-21,80102,30891.66,2.592997592230395
Ahmedabad-Mumbai,Medium,2025-04-28,67466,25447.13,2.6512223578847594
Ahmedabad-Mumbai,Medium,2025-05-05,69839,26930.019999999997,2.593351211770359
Ahmedabad-Mumbai,Medium,2025-05-12,115771,44437.850000000006,2.605234051602406
Ahmedabad-Mumbai,Medium,2025-05-19,70486,26762.960000000003,2.6337146563758265
Ahmedabad-Mumbai,Medium,2025-05-26,91126,34823.880000000005,2.6167675744345544
Ahmedabad-Mumbai,Medium,2025-06-02,78760,29809.369999999995,2.6421222588736364
Ahmedabad-Mumbai,Medium,2025-06-09,98252,35771.2,2.7466788925168855
Ahmedabad-Mumbai,Medium,2025-06-16,83260,29615.43,2.811372315039829
Ahmedabad-Mumbai,Medium,2025-06-23,113072,40404.31,2.798513326919826
Ahmedabad-Mumbai,Medium,2025-06-30,89645,33075.75,2.7102937953032056
Ahmedabad-Mumbai,Medium,2025-07-07,94320,35115.79,2.685971182764221
Ahmedabad-Mumbai,Medium,2025-07-14,122886,45670.12,2.69073083232538
Ahmedabad-Mumbai,Medium,2025-07-21,127207,45469.53,2.7976317327229907
Ahmedabad-Mumbai,Medium,2025-07-28,95059,35491.53,2.678357343287258
Ahmedabad-Mumbai,Medium,2025-08-04,121328,45459.229999999996,2.6689409389468324
Ahmedabad-Mumbai,Medium,2025-08-11,69190,26331.12,2.627689213371858
Ahmedabad-Mumbai,Medium,2025-08-18,68827,26365.36,2.6105086370904855
Ahmedabad-Mumbai,Medium,2025-08-25,110078,41956.63,2.623613955648964
Ahmedabad-Mumbai,Medium,2025-09-01,105051,38715.880000000005,2.713382725641261
Ahmedabad-Mumbai,Medium,2025-09-08,102520,39046.19,2.6256082859812953
Ahmedabad-Mumbai,Medium,2025-09-15,89215,31845.62,2.8014841601451
Ahmedabad-Mumbai,Medium,2025-09-22,89173,33726.68,2.6439898620320768
Ahmedabad-Mumbai,Medium,2025-09-29,107137,39622.94,2.703913440042561
Ahmedabad-Mumbai,Medium,2025-10-06,75587,27502.61,2.748357337721765
Ahmedabad-Mumbai,Medium,2025-10-13,85381,31386.440000000002,2.7203148875756535
Ahmedabad-Mumbai,Medium,2025-10-20,99900,36421.479999999996,2.742886889824357
Ahmedabad-Mumbai,Medium,2025-10-27,118250,44306.93,2.668882723312132
Ahmedabad-Mumbai,Medium,2025-11-03,94186,34362.01,2.7409921596553866
Ahmedabad-Mumbai,Medium,2025-11-10,84833,32535.82,2.607372428295952
Ahmedabad-Mumbai,Medium,2025-11-17,71091,25872.65,2.7477278129607905
Ahmedabad-Mumbai,Medium,2025-11-24,96776,37098.04,2.6086553359692317
Ahmedabad-Mumbai,Medium,2025-12-01,91192,32720.769999999997,2.7869759788660233
Ahmedabad-Mumbai,Medium,2025-12-08,115318,41227.08,2.797142072637693
Ahmedabad-Mumbai,Medium,2025-12-15,86288,31585.22,2.731910684807641
Ahmedabad-Mumbai,Medium,2025-12-22,65046,23778.98,2.735441133303447
Chennai-Bangalore,Medium,2024-01-01,58977,21933.45,2.688906669949324
Chennai-Bangalore,Medium,2024-01-08,42903,15461.82,2.774770369852967
Chennai-Bangalore,Medium,2024-01-15,50849,19077.86,2.665340871565259
Chennai-Bangalore,Medium,2024-01-22,49454,17803.78,2.7777247303662485
Chennai-Bangalore,Medium,2024-01-29,54756,20357.34,2.6897423730212298
Chennai-Bangalore,Medium,2024-02-05,72621,27015.600000000002,2.688113534402345
Chennai-Bangalore,Medium,2024-02-12,52343,18868.72,2.77406204554416
Chennai-Bangalore,Medium,2024-02-19,68906,25554.010000000002,2.696484817842679
Chennai-Bangalore,Medium,2024-02-26,68219,26001.100000000002,2.623696689755433
Chennai-Bangalore,Medium,2024-03-04,78257,29644.61,2.639839080358959
Chennai-Bangalore,Medium,2024-03-11,48428,17484.82,2.7697168172163056
Chennai-Bangalore,Medium,2024-03-18,43429,16739.64,2.5943807632661158
Chennai-Bangalore,Medium,2024-03-25,57470,21027.52,2.733085023816408
Chennai-Bangalore,Medium,2024-04-01,64764,23923.36,2.7071448157783857
Chennai-Bangalore,Medium,2024-04-08,67420,24462.620000000003,2.7560416668369943
Chennai-Bangalore,Medium,2024-04-15,48798,18200.370000000003,2.6811542842260896
Chennai-Bangalore,Medium,2024-04-22,40366,15576.380000000001,2.59148788100958
Chennai-Bangalore,Medium,2024-04-29,43477,15933.529999999999,2.728648328399294
Chennai-Bangalore,Medium,2024-05-06,55512,21661.22,2.5627365402318056
Chennai-Bangalore,Medium,2024-05-13,59466,21558.78,2.7583193483119177
Chennai-Bangalore,Medium,2024-05-20,69029,25826.19,2.672829403020732
Chennai-Bangalore,Medium,2024-05-27,39309,14422.240000000002,2.7255821564472646
Chennai-Bangalore,Medium,2024-06-03,45145,16338.66,2.7630784899128815
Chennai-Bangalore,Medium,2024-06-10,56720,21780.3,2.6041881884087914
Chennai-Bangalore,Medium,2024-06-17,50991,18176.68,2.8052977771518233
Chennai-Bangalore,Medium,2024-06-24,43198,16274.16,2.6543919931965765
Chennai-Bangalore,Medium,2024-07-01,37670,13625.060000000001,2.7647584671186767
Chennai-Bangalore,Medium,2024-07-08,45832,17121.14,2.6769245505848325
Chennai-Bangalore,Medium,2024-07-15,30796,11089.859999999999,2.776951196859113
Chennai-Bangalore,Medium,2024-07-22,66262,24956.1,2.6551424301072686
Chennai-Bangalore,Medium,2024-07-29,65629,23658.24,2.774044053995563
Chennai-Bangalore,Medium,2024-08-05,79700,30443.03,2.618004843801685
Chennai-Bangalore,Medium,2024-08-12,44144,15802.029999999999,2.793565130556011
Chennai-Bangalore,Medium,2024-08-19,40105,14517.64,2.762501343193522
Chennai-Bangalore,Medium,2024-08-26,38429,14386.23,2.6712349239515842
Chennai-Bangalore,Medium,2024-09-02,54195,21186.73,2.5579690683744025
Chennai-Bangalore,Medium,2024-09-09,81971,30248.77,2.7098953114457216
Chennai-Bangalore,Medium,2024-09-16,36492,13713.73,2.6609828252415646
Chennai-Bangalore,Medium,2024-09-23,56016,21293.23,2.630695296110548
Chennai-Bangalore,Medium,2024-09-30,45226,17171.54,2.6337765861419533
Chennai-Bangalore,Medium,2024-10-07,62753,23149.940000000002,2.7107197686041515
Chennai-Bangalore,Medium,2024-10-14,46319,17623.94,2.6281864327726945
Chennai-Bangalore,Medium,2024-10-21,53173,19535.98,2.7217984457396045
Chennai-Bangalore,Medium,2024-10-28,39988,15381.08,2.599817438047263
Chennai-Bangalore,Medium,2024-11-04,60025,21990.16,2.729629979954671
Chennai-Bangalore,Medium,2024-11-11,74960,27267.190000000002,2.749091490542296
Chennai-Bangalore,Medium,2024-11-18,52505,18962.23,2.7689253848307924
Chennai-Bangalore,Medium,2024-11-25,44738,16219.86,2.758223560499289
Chennai-Bangalore,Medium,2024-12-02,53827,19696.43,2.7328302641646225
Chennai-Bangalore,Medium,2024-12-09,58563,22098.4,2.6501013648046916
Chennai-Bangalore,Medium,2024-12-16,79077,29409.15,2.688857039390802
Chennai-Bangalore,Medium,2024-12-23,52020,18895.26,2.753071405209561
Chennai-Bangalore,Medium,2024-12-30,45489,16625.67,2.7360701854421507
Chennai-Bangalore,Medium,2025-01-06,79564,29255.829999999998,2.719594692750129
Chennai-Bangalore,Medium,2025-01-13,39192,15275.41,2.565692181093666
Chennai-Bangalore,Medium,2025-01-20,82819,29604.02,2.797559250399101
Chennai-Bangalore,Medium,2025-01-27,57884,21139.6,2.7381785842683874
Chennai-Bangalore,Medium,2025-02-03,51933,19354.77,2.6832145254115654
Chennai-Bangalore,Medium,2025-02-10,57747,21235.23,2.7193960225530875
Chennai-Bangalore,Medium,2025-02-17,59877,21061.879999999997,2.8429086102475187
Chennai-Bangalore,Medium,2025-02-24,120133,33530.229999999996,3.5828266015473207
Chennai-Bangalore,Medium,2025-03-03,100027,28774.9,3.476189317773476
Chennai-Bangalore,Medium,2025-03-10,115248,32267.29,3.5716665390864866
Chennai-Bangalore,Medium,2025-03-17,102753,29618.33,3.469236786814111
Chennai-Bangalore,Medium,2025-03-24,34672,12797.580000000002,2.7092622198884473
Chennai-Bangalore,Medium,2025-03-31,65306,23455.32,2.7842723953457043
Chennai-Bangalore,Medium,2025-04-07,64225,23442.019999999997,2.739738299003243
Chennai-Bangalore,Medium,2025-04-14,67169,24871.5,2.700641296262791
Chennai-Bangalore,Medium,2025-04-21,57780,22308.239999999998,2.5900743402437847
Chennai-Bangalore,Medium,2025-04-28,69235,25704.11,2.693538115110774
Chennai-Bangalore,Medium,2025-05-05,71918,24367.74,2.9513611028351416
Chennai-Bangalore,Medium,2025-05-12,69435,23485.989999999998,2.9564433945513904
Chennai-Bangalore,Medium,2025-05-19,61133,21677.559999999998,2.8201052147935473
Chennai-Bangalore,Medium,2025-05-26,65441,23512.78,2.78320981185551
Chennai-Bangalore,Medium,2025-06-02,74850,25652.03,2.9178977258330043
Chennai-Bangalore,Medium,2025-06-09,54905,19283.18,2.847300082247845
Chennai-Bangalore,Medium,2025-06-16,81700,27767.19,2.942321495261134
Chennai-Bangalore,Medium,2025-06-23,48893,17442.3,2.803128027840365
Chennai-Bangalore,Medium,2025-06-30,51310,18636.0,2.7532732345996993
Chennai-Bangalore,Medium,2025-07-07,60099,20614.239999999998,2.915411870629235
Chennai-Bangalore,Medium,2025-07-14,45325,16180.100000000002,2.801280585410473
Chennai-Bangalore,Medium,2025-07-21,81404,27690.25,2.939807332905987
Chennai-Bangalore,Medium,2025-07-28,54663,19732.06,2.77026321630889
Chennai-Bangalore,Medium,2025-08-04,76216,26066.21,2.9239386930435995
Chennai-Bangalore,Medium,2025-08-11,54929,19364.07,2.8366453953120394
Chennai-Bangalore,Medium,2025-08-18,83046,29058.05,2.857934376188354
Chennai-Bangalore,Medium,2025-08-25,75931,26644.739999999998,2.849755711633891
Chennai-Bangalore,Medium,2025-09-01,51208,17682.54,2.8959640413650978
Chennai-Bangalore,Medium,2025-09-08,45559,16443.45,2.7706472790077505
Chennai-Bangalore,Medium,2025-09-15,57872,19456.98,2.974356760401666
Chennai-Bangalore,Medium,2025-09-22,36984,12677.06,2.91739567376032
Chennai-Bangalore,Medium,2025-09-29,58342,20117.28,2.9000938496655615
Chennai-Bangalore,Medium,2025-10-06,82878,29874.91,2.774167353140143
Chennai-Bangalore,Medium,2025-10-13,64001,22296.71,2.870423484002797
Chennai-Bangalore,Medium,2025-10-20,46519,16285.64,2.85644285394986
Chennai-Bangalore,Medium,2025-10-27,50689,18034.39,2.810685584596984
Chennai-Bangalore,Medium,2025-11-03,64477,22472.21,2.8691882106833284
Chennai-Bangalore,Medium,2025-11-10,78419,27027.83,2.9014167989069044
Chennai-Bangalore,Medium,2025-11-17,60435,21496.5,2.811387900355872
Chennai-Bangalore,Medium,2025-11-24,51925,17939.989999999998,2.894371735993164
Chennai-Bangalore,Medium,2025-12-01,65788,22836.71,2.8808002553782925
Chennai-Bangalore,Medium,2025-12-08,32225,11156.45,2.888463624181527
Chennai-Bangalore,Medium,2025-12-15,46310,15755.3,2.9393283529986736
Chennai-Bangalore,Medium,2025-12-22,67337,23847.41,2.8236609342482057
Delhi-Chennai,Long,2024-01-01,134916,68964.94,1.956298374217392
Delhi-Chennai,Long,2024-01-08,285908,136285.82,2.0978558150803948
Delhi-Chennai,Long,2024-01-15,275120,128158.55,2.1467159233621165
Delhi-Chennai,Long,2024-01-22,314261,155006.09999999998,2.027410534166075
Delhi-Chennai,Long,2024-01-29,303502,151670.82,2.001057289727846
Delhi-Chennai,Long,2024-02-05,280713,126404.08000000002,2.2207590134748814
Delhi-Chennai,Long,2024-02-12,188995,92440.46,2.0445051874471414
Delhi-Chennai,Long,2024-02-19,220217,103181.73999999999,2.1342632911598507
Delhi-Chennai,Long,2024-02-26,328959,156167.56,2.1064489961935755
Delhi-Chennai,Long,2024-03-04,365685,178170.03999999998,2.0524494466072976
Delhi-Chennai,Long,2024-03-11,299031,148010.98,2.0203298430967753
Delhi-Chennai,Long,2024-03-18,307002,138731.0,2.2129300588909473
Delhi-Chennai,Long,2024-03-25,236863,115481.05,2.0510984269713517
Delhi-Chennai,Long,2024-04-01,378776,185677.96,2.039962093508567
Delhi-Chennai,Long,2024-04-08,345993,159068.3,2.175122258803294
Delhi-Chennai,Long,2024-04-15,366192,167242.24,2.189590380994658
Delhi-Chennai,Long,2024-04-22,395713,193925.94,2.040536712107725
Delhi-Chennai,Long,2024-04-29,332927,163095.0,2.041307213587173
Delhi-Chennai,Long,2024-05-06,155730,76399.79,2.038356388152376
Delhi-Chennai,Long,2024-05-13,284855,132685.32,2.146846388130955
Delhi-Chennai,Long,2024-05-20,337228,153810.76,2.192486403421971
Delhi-Chennai,Long,2024-05-27,376445,180036.97,2.090931656981341
Delhi-Chennai,Long,2024-06-03,315816,145168.93,2.175506838825636
Delhi-Chennai,Long,2024-06-10,206303,94437.6,2.1845430210001098
Delhi-Chennai,Long,2024-06-17,380586,173795.69,2.1898471705483606
Delhi-Chennai,Long,2024-06-24,195902,93973.40000000001,2.08465374244201
Delhi-Chennai,Long,2024-07-01,312824,147693.13999999998,2.118067230475295
Delhi-Chennai,Long,2024-07-08,288650,135645.14,2.1279789309075134
Delhi-Chennai,Long,2024-07-15,181537,84805.84,2.140619089440067
Delhi-Chennai,Long,2024-07-22,287614,147788.88,1.9461139430788026
Delhi-Chennai,Long,2024-07-29,265177,132932.73,1.9948209895335782
Delhi-Chennai,Long,2024-08-05,233920,117091.19,1.997759182394508
Delhi-Chennai,Long,2024-08-12,201436,95988.45,2.098544147759444
Delhi-Chennai,Long,2024-08-19,395576,191008.67,2.070984526513901
Delhi-Chennai,Long,2024-08-26,244690,115276.29000000001,2.1226394430285707
Delhi-Chennai,Long,2024-09-02,290503,137664.2,2.110229093693204
Delhi-Chennai,Long,2024-09-09,393132,185527.61,2.118994579836392
Delhi-Chennai,Long,2024-09-16,269037,125313.89,2.1469048642572663
Delhi-Chennai,Long,2024-09-23,264307,124877.9,2.116523420076731
Delhi-Chennai,Long,2024-09-30,181707,87942.18,2.066209866528212
Delhi-Chennai,Long,2024-10-07,240803,120864.68000000001,1.9923355607279147
Delhi-Chennai,Long,2024-10-14,380536,173746.71000000002,2.1901767233463008
Delhi-Chennai,Long,2024-10-21,248827,114133.72,2.1801357215028125
Delhi-Chennai,Long,2024-10-28,299876,146739.68,2.0435917537778465
Delhi-Chennai,Long,2024-11-04,310423,145262.07,2.1369859317026116
Delhi-Chennai,Long,2024-11-11,225138,110254.33000000002,2.0419878294122324
Delhi-Chennai,Long,2024-11-18,292751,147106.41,1.990062839545877
Delhi-Chennai,Long,2024-11-25,292948,147306.96000000002,1.988690826285465
Delhi-Chennai,Long,2024-12-02,261839,133042.39,1.968087013469917
Delhi-Chennai,Long,2024-12-09,365928,168693.28999999998,2.169191199009753
Delhi-Chennai,Long,2024-12-16,151111,74215.56,2.036109408862508
Delhi-Chennai,Long,2024-12-23,239833,114783.28,2.0894419465971
Delhi-Chennai,Long,2024-12-30,197924,91177.24,2.170761036416544
Delhi-Chennai,Long,2025-01-06,173114,85746.04,2.0189153924776004
Delhi-Chennai,Long,2025-01-13,196332,98298.23,1.9973096158496446
Delhi-Chennai,Long,2025-01-20,226790,115566.66,1.962417188486714
Delhi-Chennai,Long,2025-01-27,344386,157878.79,2.181331640557924
Delhi-Chennai,Long,2025-02-03,343244,154991.75,2.2145952929752712
Delhi-Chennai,Long,2025-02-10,278208,136497.9,2.0381852028492746
Delhi-Chennai,Long,2025-02-17,357413,161048.50999999998,2.2192878406636614
Delhi-Chennai,Long,2025-02-24,167650,80733.79000000001,2.0765778492499853
Delhi-Chennai,Long,2025-03-03,361236,167863.94,2.1519571147918963
Delhi-Chennai,Long,2025-03-10,339952,160446.95,2.1187813168153085
Delhi-Chennai,Long,2025-03-17,359910,172909.0,2.0814995170870225
Delhi-Chennai,Long,2025-03-24,363909,183170.59999999998,1.9867216682153144
Delhi-Chennai,Long,2025-03-31,233524,114040.22,2.047733685536559
Delhi-Chennai,Long,2025-04-07,268478,121555.87,2.2086798440914452
Delhi-Chennai,Long,2025-04-14,270747,136493.01,1.983596083052165
Delhi-Chennai,Long,2025-04-21,312046,151247.37,2.0631499245243075
Delhi-Chennai,Long,2025-04-28,287385,138983.8,2.0677589762260062
Delhi-Chennai,Long,2025-05-05,275140,125137.76999999999,2.198696684462253
Delhi-Chennai,Long,2025-05-12,257748,120695.86,2.1355164957605006
Delhi-Chennai,Long,2025-05-19,209646,99385.89000000001,2.109414123071192
Delhi-Chennai,Long,2025-05-26,336879,159555.2,2.1113633400854375
Delhi-Chennai,Long,2025-06-02,282835,137097.28,2.0630241533603
Delhi-Chennai,Long,2025-06-09,272871,124094.10999999999,2.1989037191209158
Delhi-Chennai,Long,2025-06-16,280644,136349.13999999998,2.0582748083339584
Delhi-Chennai,Long,2025-06-23,335839,164202.09,2.0452784736174796
Delhi-Chennai,Long,2025-06-30,257627,119623.71999999999,2.153644778811427
Delhi-Chennai,Long,2025-07-07,248042,125362.08,1.97860469449773
Delhi-Chennai,Long,2025-07-14,389253,179359.28999999998,2.1702416417906205
Delhi-Chennai,Long,2025-07-21,167776,82271.76999999999,2.0392900262143385
Delhi-Chennai,Long,2025-07-28,345705,167597.52,2.062709519806737
Delhi-Chennai,Long,2025-08-04,353040,162114.24,2.1777235608667076
Delhi-Chennai,Long,2025-08-11,298330,150098.37,1.9875632227052167
Delhi-Chennai,Long,2025-08-18,363312,180824.25,2.0091995404377454
Delhi-Chennai,Long,2025-08-25,207066,102689.62,2.016425808178081
Delhi-Chennai,Long,2025-09-01,233971,109857.22999999998,2.1297733430926673
Delhi-Chennai,Long,2025-09-08,395213,184041.65999999997,2.1474105373750705
Delhi-Chennai,Long,2025-09-15,187163,91050.98,2.0555846845360697
Delhi-Chennai,Long,2025-09-22,319960,161463.94,1.9816189298985272
Delhi-Chennai,Long,2025-09-29,401679,192680.76,2.084686608045349
Delhi-Chennai,Long,2025-10-06,260010,123358.01000000001,2.107767464796165
Delhi-Chennai,Long,2025-10-13,198214,96519.98999999999,2.0536056831336182
Delhi-Chennai,Long,2025-10-20,295256,142686.87,2.069258369743481
Delhi-Chennai,Long,2025-10-27,320946,147137.88,2.1812601894223294
Delhi-Chennai,Long,2025-11-03,349609,171828.61,2.0346378871364905
Delhi-Chennai,Long,2025-11-10,215222,97942.03,2.1974427117755266
Delhi-Chennai,Long,2025-11-17,274519,137223.38,2.0005264409024175
Delhi-Chennai,Long,2025-11-24,185792,91553.88,2.029318691900332
Delhi-Chennai,Long,2025-12-01,346195,167106.46,2.0717032722732562
Delhi-Chennai,Long,2025-12-08,274433,138401.24,1.9828796331593561
Delhi-Chennai,Long,2025-12-15,169291,86039.98999999999,1.9675850729410826
Delhi-Chennai,Long,2025-12-22,285284,143320.77000000002,1.9905279604623947
Delhi-Jaipur,Short,2024-01-01,61886,20627.81,3.000124589086287
Delhi-Jaipur,Short,2024-01-08,56169,18396.53,3.053238844499479
Delhi-Jaipur,Short,2024-01-15,77069,25534.04,3.018284611444174
Delhi-Jaipur,Short,2024-01-22,61427,20540.57,2.9905207109637173
Delhi-Jaipur,Short,2024-01-29,65029,20365.83,3.193044427848018
Delhi-Jaipur,Short,2024-02-05,45216,14974.350000000002,3.019563453505494
Delhi-Jaipur,Short,2024-02-12,44149,14176.66,3.114203204421916
Delhi-Jaipur,Short,2024-02-19,46469,15519.43,2.9942465670453102
Delhi-Jaipur,Short,2024-02-26,42988,13885.36,3.095922612017261
Delhi-Jaipur,Short,2024-03-04,71237,23738.65,3.000886739557641
Delhi-Jaipur,Short,2024-03-11,42074,13516.009999999998,3.112900922683544
Delhi-Jaipur,Short,2024-03-18,41957,13624.689999999999,3.079482909335919
Delhi-Jaipur,Short,2024-03-25,66568,20969.489999999998,3.17451688143107
Delhi-Jaipur,Short,2024-04-01,36029,12051.29,2.989638453642722
Delhi-Jaipur,Short,2024-04-08,60612,19392.15,3.1255946349424892
Delhi-Jaipur,Short,2024-04-15,40207,12558.9,3.2014746514424033
Delhi-Jaipur,Short,2024-04-22,58963,19279.07,3.0583944142533848
Delhi-Jaipur,Short,2024-04-29,57004,18542.32,3.0742647090547464
Delhi-Jaipur,Short,2024-05-06,41553,13423.93,3.095442243813846
Delhi-Jaipur,Short,2024-05-13,40231,13144.820000000002,3.060597254279632
Delhi-Jaipur,Short,2024-05-20,49182,16102.36,3.0543348925250706
Delhi-Jaipur,Short,2024-05-27,41585,13387.359999999999,3.1062883197284608
Delhi-Jaipur,Short,2024-06-03,74584,23744.620000000003,3.1410904870240075
Delhi-Jaipur,Short,2024-06-10,38973,12859.28,3.0307295587311263
Delhi-Jaipur,Short,2024-06-17,66166,20843.04,3.174488942112091
Delhi-Jaipur,Short,2024-06-24,56363,18188.809999999998,3.098773366701835
Delhi-Jaipur,Short,2024-07-01,43353,13581.94,3.1919593224531986
Delhi-Jaipur,Short,2024-07-08,70675,22675.23,3.1168371831289035
Delhi-Jaipur,Short,2024-07-15,58047,18798.67,3.0878248301608573
Delhi-Jaipur,Short,2024-07-22,77512,24787.36,3.12707767184565
Delhi-Jaipur,Short,2024-07-29,58574,18614.78,3.146639390849637
Delhi-Jaipur,Short,2024-08-05,54269,17752.97,3.0568969586497357
Delhi-Jaipur,Short,2024-08-12,40815,13593.42,3.0025556482474607
Delhi-Jaipur,Short,2024-08-19,65726,21371.63,3.0753854525836353
Delhi-Jaipur,Short,2024-08-26,32890,10588.85,3.1060974515646174
Delhi-Jaipur,Short,2024-09-02,66422,21555.86,3.0813894690353343
Delhi-Jaipur,Short,2024-09-09,38044,12003.660000000002,3.169366676497001
Delhi-Jaipur,Short,2024-09-16,57204,18077.76,3.1643300939939465
Delhi-Jaipur,Short,2024-09-23,43598,13832.820000000002,3.1517796082071476
Delhi-Jaipur,Short,2024-09-30,46663,15473.21,3.0157284752161964
Delhi-Jaipur,Short,2024-10-07,38206,12370.689999999999,3.088429182204065
